Ent1	Ent2	SumIC	AvgIC	Nfeats
P25789	P17980	0.7206689282777667	0.2402229760925889	3
P82664	Q9Y399	0.7206689282777667	0.2402229760925889	3
P43686	Q16186	0.4273200255116528	0.2136600127558264	2
Q99741	O43929	0.9107463599997837	0.22768658999994593	4
Q96EB6	O43524	0.9107463599997837	0.22768658999994593	4
P62875	Q9UBU7	0.8511119956031183	0.21277799890077959	4
O75817	Q9UBV8	1.0411894273251354	0.20823788546502708	5
Q7Z7A1	Q96AH0	0.8511119956031183	0.21277799890077959	4
Q13608	O00623	0.9107463599997837	0.22768658999994593	4
All	pairs	0.8511119956031183	0.22768658999994593	4
